gene,rank,cancer_type,expression
TNFRSF9,19,Kidney Renal Papillary Cell Carcinoma (TCGA),1.627809219858156
TNFRSF9,20,Breast Invasive Carcinoma (TCGA),1.525234637964775
TNFRSF9,21,Pancreatic Adenocarcinoma (TCGA),1.3568107954545454
TNFRSF9,22,Colon Adenocarcinoma (TCGA),1.317638188976378
TNFRSF9,23,Rectum Adenocarcinoma (TCGA),1.0868613636363635
TNFRSF9,24,Ovary Serous Cystadenocarcinoma (TCGA),1.063043553008596
TNFRSF9,25,Liver Hepatocellular Carcinoma (TCGA),0.9378718232044199
TNFRSF9,26,Thyroid Carcinoma (TCGA),0.9312531313131314
TNFRSF9,27,Liver Hepatocellular Carcinoma (validation),0.6080307359307359
TNFRSF9,28,Kidney Chromophobe (TCGA),0.59335625
TNFRSF9,29,Prostate Adenocarcinoma (TCGA),0.5827964583333334
TNFRSF9,30,Ovary Serous Cystadenocarcinoma (validation),0.5356160493827161
TNFRSF9,31,Glioblastoma Multiforme (TCGA),0.47588581560283694
